func	1:0	94:0	0	int	main
stmnts	0:0	93:9	1	
arg	22:19	22:22	5	tif
water	22:19	0:0	6	tif
arg	22:24	22:45	5	TIFFTAG_BITSPERSAMPLE
water	22:24	0:0	6	TIFFTAG_BITSPERSAMPLE
arg	22:47	22:48	5	8
water	22:47	0:0	6	8
stmts	22:51	25:1	3	
water	22:51	0:0	4	{
call	23:2	23:51	4	fprintf
arg	23:11	23:17	5	stderr
water	23:11	0:0	6	stderr
arg	23:19	23:51	5	"Can't set BitsPerSample tag.\n"
water	23:19	0:0	6	"Can't set BitsPerSample tag.\n"
water	23:52	0:0	4	;
goto	24:2	24:14	4	failure
water	24:7	0:0	5	failure
water	25:1	0:0	4	}
if	26:1	29:1	2	(!TIFFSetField (tif ,TIFFTAG_SAMPLESPERPIXEL ,sizeof ( buf ) ))
cond	26:5	26:60	3	!TIFFSetField (tif ,TIFFTAG_SAMPLESPERPIXEL ,sizeof ( buf ) )
op	26:5	0:0	4	!
call	26:6	26:60	4	TIFFSetField
arg	26:19	26:22	5	tif
water	26:19	0:0	6	tif
arg	26:24	26:47	5	TIFFTAG_SAMPLESPERPIXEL
water	26:24	0:0	6	TIFFTAG_SAMPLESPERPIXEL
arg	26:49	26:60	5	sizeof(buf)
op	26:49	0:0	6	sizeof
water	26:55	0:0	6	(
water	26:56	0:0	6	buf
water	26:59	0:0	6	)
stmts	26:63	29:1	3	
water	26:63	0:0	4	{
call	27:2	27:53	4	fprintf
arg	27:11	27:17	5	stderr
water	27:11	0:0	6	stderr
arg	27:19	27:53	5	"Can't set SamplesPerPixel tag.\n"
water	27:19	0:0	6	"Can't set SamplesPerPixel tag.\n"
water	27:54	0:0	4	;
goto	28:2	28:14	4	failure
water	28:7	0:0	5	failure
water	29:1	0:0	4	}
if	30:1	33:1	2	(!TIFFSetField (tif ,TIFFTAG_PLANARCONFIG ,PLANARCONFIG_CONTIG ))
cond	30:5	30:65	3	!TIFFSetField (tif ,TIFFTAG_PLANARCONFIG ,PLANARCONFIG_CONTIG )
op	30:5	0:0	4	!
call	30:6	30:65	4	TIFFSetField
arg	30:19	30:22	5	tif
water	30:19	0:0	6	tif
arg	30:24	30:44	5	TIFFTAG_PLANARCONFIG
water	30:24	0:0	6	TIFFTAG_PLANARCONFIG
arg	30:46	30:65	5	PLANARCONFIG_CONTIG
water	30:46	0:0	6	PLANARCONFIG_CONTIG
stmts	30:68	33:1	3	
water	30:68	0:0	4	{
call	31:2	31:57	4	fprintf
arg	31:11	31:17	5	stderr
water	31:11	0:0	6	stderr
arg	31:19	31:57	5	"Can't set PlanarConfiguration tag.\n"
water	31:19	0:0	6	"Can't set PlanarConfiguration tag.\n"
water	31:58	0:0	4	;
goto	32:2	32:14	4	failure
water	32:7	0:0	5	failure
water	33:1	0:0	4	}
if	34:1	37:1	2	(!TIFFSetField (tif ,TIFFTAG_PHOTOMETRIC ,PHOTOMETRIC_RGB ))
cond	34:5	34:60	3	!TIFFSetField (tif ,TIFFTAG_PHOTOMETRIC ,PHOTOMETRIC_RGB )
op	34:5	0:0	4	!
call	34:6	34:60	4	TIFFSetField
arg	34:19	34:22	5	tif
water	34:19	0:0	6	tif
arg	34:24	34:43	5	TIFFTAG_PHOTOMETRIC
water	34:24	0:0	6	TIFFTAG_PHOTOMETRIC
arg	34:45	34:60	5	PHOTOMETRIC_RGB
water	34:45	0:0	6	PHOTOMETRIC_RGB
stmts	34:63	37:1	3	
water	34:63	0:0	4	{
call	35:2	35:63	4	fprintf
arg	35:11	35:17	5	stderr
water	35:11	0:0	6	stderr
arg	35:19	35:63	5	"Can't set PhotometricInterpretation tag.\n"
water	35:19	0:0	6	"Can't set PhotometricInterpretation tag.\n"
water	35:64	0:0	4	;
goto	36:2	36:14	4	failure
water	36:7	0:0	5	failure
water	37:1	0:0	4	}
for	38:1	45:1	2	(i = 0 ;i < NTAGS;i ++)
forinit	38:6	38:11	3	i = 0 ;
water	38:6	0:0	4	i
op	38:8	0:0	4	=
water	38:10	0:0	4	0
water	38:11	0:0	4	;
cond	38:13	38:17	3	i < NTAGS
water	38:13	0:0	4	i
op	38:15	0:0	4	<
water	38:17	0:0	4	NTAGS
forexpr	38:24	38:25	3	i ++
water	38:24	0:0	4	i
op	38:25	0:0	4	++
stmts	38:29	45:1	3	
water	38:29	0:0	4	{
if	39:2	44:2	4	(!TIFFSetField (tif ,ascii_tags [ i ] . tag ,ascii_tags [ i ] . value ))
cond	39:6	40:25	5	!TIFFSetField (tif ,ascii_tags [ i ] . tag ,ascii_tags [ i ] . value )
op	39:6	0:0	6	!
call	39:7	40:25	6	TIFFSetField
arg	39:20	39:23	7	tif
water	39:20	0:0	8	tif
arg	39:25	39:42	7	ascii_tags[i].tag
water	39:25	0:0	8	ascii_tags
op	39:35	0:0	8	[
water	39:36	0:0	8	i
op	39:37	0:0	8	]
op	39:38	0:0	8	.
water	39:39	0:0	8	tag
arg	40:6	40:25	7	ascii_tags[i].value
water	40:6	0:0	8	ascii_tags
op	40:16	0:0	8	[
water	40:17	0:0	8	i
op	40:18	0:0	8	]
op	40:19	0:0	8	.
water	40:20	0:0	8	value
stmts	40:28	44:2	5	
water	40:28	0:0	6	{
call	41:3	42:36	6	fprintf
arg	41:11	41:17	7	stderr
water	41:11	0:0	8	stderr
arg	41:19	41:41	7	"Can't set tag %lu.\n"
water	41:19	0:0	8	"Can't set tag %lu.\n"
arg	42:4	42:36	7	(unsignedlong)ascii_tags[i].tag
water	42:4	0:0	8	(
water	42:5	0:0	8	unsigned
water	42:14	0:0	8	long
water	42:18	0:0	8	)
water	42:19	0:0	8	ascii_tags
op	42:29	0:0	8	[
water	42:30	0:0	8	i
op	42:31	0:0	8	]
op	42:32	0:0	8	.
water	42:33	0:0	8	tag
water	42:37	0:0	6	;
goto	43:3	43:15	6	failure
water	43:8	0:0	7	failure
water	44:2	0:0	6	}
water	45:1	0:0	4	}
if	47:1	51:1	2	(!TIFFSetField (tif ,TIFFTAG_NUMBEROFINKS ,3 ))
cond	47:5	47:47	3	!TIFFSetField (tif ,TIFFTAG_NUMBEROFINKS ,3 )
op	47:5	0:0	4	!
call	47:6	47:47	4	TIFFSetField
arg	47:19	47:22	5	tif
water	47:19	0:0	6	tif
arg	47:24	47:44	5	TIFFTAG_NUMBEROFINKS
water	47:24	0:0	6	TIFFTAG_NUMBEROFINKS
arg	47:46	47:47	5	3
water	47:46	0:0	6	3
stmts	47:50	51:1	3	
water	47:50	0:0	4	{
call	48:2	49:45	4	fprintf
arg	48:11	48:17	5	stderr
water	48:11	0:0	6	stderr
arg	48:19	48:55	5	"Can't set tag %d (NUMBEROFINKS).\n"
water	48:19	0:0	6	"Can't set tag %d (NUMBEROFINKS).\n"
arg	49:25	49:45	5	TIFFTAG_NUMBEROFINKS
water	49:25	0:0	6	TIFFTAG_NUMBEROFINKS
water	49:46	0:0	4	;
goto	50:2	50:14	4	failure
water	50:7	0:0	5	failure
water	51:1	0:0	4	}
if	52:1	56:1	2	(!TIFFSetField (tif ,TIFFTAG_INKNAMES ,ink_names_size ,ink_names ))
cond	52:5	52:67	3	!TIFFSetField (tif ,TIFFTAG_INKNAMES ,ink_names_size ,ink_names )
op	52:5	0:0	4	!
call	52:6	52:67	4	TIFFSetField
arg	52:19	52:22	5	tif
water	52:19	0:0	6	tif
arg	52:24	52:40	5	TIFFTAG_INKNAMES
water	52:24	0:0	6	TIFFTAG_INKNAMES
arg	52:42	52:56	5	ink_names_size
water	52:42	0:0	6	ink_names_size
arg	52:58	52:67	5	ink_names
water	52:58	0:0	6	ink_names
stmts	52:70	56:1	3	
water	52:70	0:0	4	{
call	53:2	54:20	4	fprintf
arg	53:11	53:17	5	stderr
water	53:11	0:0	6	stderr
arg	53:19	53:51	5	"Can't set tag %d (INKNAMES).\n"
water	53:19	0:0	6	"Can't set tag %d (INKNAMES).\n"
arg	54:4	54:20	5	TIFFTAG_INKNAMES
water	54:4	0:0	6	TIFFTAG_INKNAMES
water	54:21	0:0	4	;
goto	55:2	55:14	4	failure
water	55:7	0:0	5	failure
water	56:1	0:0	4	}
if	58:1	61:1	2	(TIFFWriteScanline (tif ,buf ,0 ,0 ) == - 1)
cond	58:5	58:43	3	TIFFWriteScanline (tif ,buf ,0 ,0 ) == - 1
call	58:5	58:37	4	TIFFWriteScanline
arg	58:23	58:26	5	tif
water	58:23	0:0	6	tif
arg	58:28	58:31	5	buf
water	58:28	0:0	6	buf
arg	58:33	58:34	5	0
water	58:33	0:0	6	0
arg	58:36	58:37	5	0
water	58:36	0:0	6	0
op	58:39	0:0	4	==
op	58:42	0:0	4	-
water	58:43	0:0	4	1
stmts	58:46	61:1	3	
water	58:46	0:0	4	{
call	59:2	59:46	4	fprintf
arg	59:11	59:17	5	stderr
water	59:11	0:0	6	stderr
arg	59:19	59:46	5	"Can't write image data.\n"
water	59:19	0:0	6	"Can't write image data.\n"
water	59:47	0:0	4	;
goto	60:2	60:14	4	failure
water	60:7	0:0	5	failure
water	61:1	0:0	4	}
call	62:1	62:14	2	TIFFClose
arg	62:11	62:14	3	tif
water	62:11	0:0	4	tif
water	62:15	0:0	2	;
water	64:1	0:0	2	tif
op	64:5	0:0	2	=
call	64:7	64:29	2	TIFFOpen
arg	64:16	64:24	3	filename
water	64:16	0:0	4	filename
arg	64:26	64:29	3	"r"
water	64:26	0:0	4	"r"
water	64:30	0:0	2	;
if	65:1	68:1	2	(! tif)
cond	65:5	65:6	3	! tif
op	65:5	0:0	4	!
water	65:6	0:0	4	tif
stmts	65:11	68:1	3	
water	65:11	0:0	4	{
call	66:2	66:62	4	fprintf
arg	66:11	66:17	5	stderr
water	66:11	0:0	6	stderr
arg	66:19	66:52	5	"Can't open test TIFF file %s.\n"
water	66:19	0:0	6	"Can't open test TIFF file %s.\n"
arg	66:54	66:62	5	filename
water	66:54	0:0	6	filename
water	66:63	0:0	4	;
return	67:2	67:10	4	1
water	67:9	0:0	5	1
water	68:1	0:0	4	}
for	69:1	76:1	2	(i = 0 ;i < NTAGS;i ++)
forinit	69:6	69:11	3	i = 0 ;
water	69:6	0:0	4	i
op	69:8	0:0	4	=
water	69:10	0:0	4	0
water	69:11	0:0	4	;
cond	69:13	69:17	3	i < NTAGS
water	69:13	0:0	4	i
op	69:15	0:0	4	<
water	69:17	0:0	4	NTAGS
forexpr	69:24	69:25	3	i ++
water	69:24	0:0	4	i
op	69:25	0:0	4	++
stmts	69:29	76:1	3	
water	69:29	0:0	4	{
if	70:2	75:2	4	(!TIFFGetField (tif ,ascii_tags [ i ] . tag ,& value ) ||strcmp (value ,ascii_tags [ i ] . value ))
cond	70:6	71:42	5	!TIFFGetField (tif ,ascii_tags [ i ] . tag ,& value ) ||strcmp (value ,ascii_tags [ i ] . value )
op	70:6	0:0	6	!
call	70:7	70:50	6	TIFFGetField
arg	70:20	70:23	7	tif
water	70:20	0:0	8	tif
arg	70:25	70:42	7	ascii_tags[i].tag
water	70:25	0:0	8	ascii_tags
op	70:35	0:0	8	[
water	70:36	0:0	8	i
op	70:37	0:0	8	]
op	70:38	0:0	8	.
water	70:39	0:0	8	tag
arg	70:44	70:50	7	&value
op	70:44	0:0	8	&
water	70:45	0:0	8	value
op	71:6	0:0	6	||
call	71:9	71:42	6	strcmp
arg	71:16	71:21	7	value
water	71:16	0:0	8	value
arg	71:23	71:42	7	ascii_tags[i].value
water	71:23	0:0	8	ascii_tags
op	71:33	0:0	8	[
water	71:34	0:0	8	i
op	71:35	0:0	8	]
op	71:36	0:0	8	.
water	71:37	0:0	8	value
stmts	71:45	75:2	5	
water	71:45	0:0	6	{
call	72:3	73:36	6	fprintf
arg	72:11	72:17	7	stderr
water	72:11	0:0	8	stderr
arg	72:19	72:41	7	"Can't get tag %lu.\n"
water	72:19	0:0	8	"Can't get tag %lu.\n"
arg	73:4	73:36	7	(unsignedlong)ascii_tags[i].tag
water	73:4	0:0	8	(
water	73:5	0:0	8	unsigned
water	73:14	0:0	8	long
water	73:18	0:0	8	)
water	73:19	0:0	8	ascii_tags
op	73:29	0:0	8	[
water	73:30	0:0	8	i
op	73:31	0:0	8	]
op	73:32	0:0	8	.
water	73:33	0:0	8	tag
water	73:37	0:0	6	;
goto	74:3	74:15	6	failure
water	74:8	0:0	7	failure
water	75:2	0:0	6	}
water	76:1	0:0	4	}
if	77:1	82:1	2	(!TIFFGetField (tif ,TIFFTAG_INKNAMES ,& value ) ||memcmp (value ,ink_names ,ink_names_size ))
cond	77:5	78:47	3	!TIFFGetField (tif ,TIFFTAG_INKNAMES ,& value ) ||memcmp (value ,ink_names ,ink_names_size )
op	77:5	0:0	4	!
call	77:6	77:48	4	TIFFGetField
arg	77:19	77:22	5	tif
water	77:19	0:0	6	tif
arg	77:24	77:40	5	TIFFTAG_INKNAMES
water	77:24	0:0	6	TIFFTAG_INKNAMES
arg	77:42	77:48	5	&value
op	77:42	0:0	6	&
water	77:43	0:0	6	value
op	78:5	0:0	4	||
call	78:8	78:47	4	memcmp
arg	78:15	78:20	5	value
water	78:15	0:0	6	value
arg	78:22	78:31	5	ink_names
water	78:22	0:0	6	ink_names
arg	78:33	78:47	5	ink_names_size
water	78:33	0:0	6	ink_names_size
stmts	78:50	82:1	3	
water	78:50	0:0	4	{
call	79:2	80:20	4	fprintf
arg	79:11	79:17	5	stderr
water	79:11	0:0	6	stderr
arg	79:19	79:51	5	"Can't get tag %d (INKNAMES).\n"
water	79:19	0:0	6	"Can't get tag %d (INKNAMES).\n"
arg	80:4	80:20	5	TIFFTAG_INKNAMES
water	80:4	0:0	6	TIFFTAG_INKNAMES
water	80:21	0:0	4	;
goto	81:2	81:14	4	failure
water	81:7	0:0	5	failure
water	82:1	0:0	4	}
call	83:1	83:14	2	TIFFClose
arg	83:11	83:14	3	tif
water	83:11	0:0	4	tif
water	83:15	0:0	2	;
call	85:1	85:16	2	unlink
arg	85:8	85:16	3	filename
water	85:8	0:0	4	filename
water	85:17	0:0	2	;
return	86:1	86:9	2	0
water	86:8	0:0	3	0
label	87:0	87:7	2	failure :
call	92:1	92:14	2	TIFFClose
arg	92:11	92:14	3	tif
water	92:11	0:0	4	tif
water	92:15	0:0	2	;
return	93:1	93:9	2	1
water	93:8	0:0	3	1
