func	1:0	107:0	0	void	GetVisual
stmnts	0:0	106:63	1	
call	72:24	73:34	6	XCreateColormap
arg	72:40	72:48	7	xDisplay
water	72:40	0:0	8	xDisplay
arg	72:50	72:79	7	RootWindow(xDisplay,xScreen)
call	72:50	72:78	8	RootWindow
arg	72:61	72:69	9	xDisplay
water	72:61	0:0	10	xDisplay
arg	72:71	72:78	9	xScreen
water	72:71	0:0	10	xScreen
arg	73:16	73:23	7	xVisual
water	73:16	0:0	8	xVisual
arg	73:25	73:34	7	AllocNone
water	73:25	0:0	8	AllocNone
water	73:35	0:0	6	;
water	74:12	0:0	6	pixels
op	74:19	0:0	6	=
water	74:21	0:0	6	(
water	74:22	0:0	6	unsigned
water	74:31	0:0	6	long
op	74:36	0:0	6	*
water	74:37	0:0	6	)
call	75:16	75:59	6	malloc
arg	75:23	75:59	7	colormapSize*sizeof(unsignedlong)
water	75:23	0:0	8	colormapSize
op	75:36	0:0	8	*
op	75:38	0:0	8	sizeof
water	75:44	0:0	8	(
water	75:45	0:0	8	unsigned
water	75:54	0:0	8	long
water	75:58	0:0	8	)
water	75:60	0:0	6	;
call	76:12	76:25	6	MCHECK
arg	76:19	76:25	7	pixels
water	76:19	0:0	8	pixels
water	76:26	0:0	6	;
water	77:12	0:0	6	(
water	77:13	0:0	6	void
water	77:17	0:0	6	)
call	77:19	78:45	6	XAllocColorCells
arg	77:36	77:44	7	xDisplay
water	77:36	0:0	8	xDisplay
arg	77:46	77:55	7	xColormap
water	77:46	0:0	8	xColormap
arg	77:57	77:61	7	True
water	77:57	0:0	8	True
arg	78:16	78:20	7	NULL
water	78:16	0:0	8	NULL
arg	78:22	78:23	7	0
water	78:22	0:0	8	0
arg	78:25	78:31	7	pixels
water	78:25	0:0	8	pixels
arg	78:33	78:45	7	colormapSize
water	78:33	0:0	8	colormapSize
water	78:46	0:0	6	;
water	79:12	0:0	6	basePixel
op	79:22	0:0	6	=
water	79:24	0:0	6	(
water	79:25	0:0	6	unsigned
water	79:34	0:0	6	char
water	79:38	0:0	6	)
water	79:40	0:0	6	pixels
op	79:46	0:0	6	[
water	79:47	0:0	6	0
op	79:48	0:0	6	]
water	79:49	0:0	6	;
call	80:12	80:23	6	free
arg	80:17	80:23	7	pixels
water	80:17	0:0	8	pixels
water	80:24	0:0	6	;
water	81:8	0:0	6	}
call	82:8	82:62	4	XStoreColors
arg	82:21	82:29	5	xDisplay
water	82:21	0:0	6	xDisplay
arg	82:31	82:40	5	xColormap
water	82:31	0:0	6	xColormap
arg	82:42	82:48	5	colors
water	82:42	0:0	6	colors
arg	82:50	82:62	5	colormapSize
water	82:50	0:0	6	colormapSize
water	82:63	0:0	4	;
break	83:8	83:13	4	
label	84:4	84:10	4	case 1 :
water	85:8	0:0	4	xImageDepth
op	85:20	0:0	4	=
water	85:22	0:0	4	1
water	85:23	0:0	4	;
water	86:8	0:0	4	xVisual
op	86:16	0:0	4	=
call	86:18	86:49	4	DefaultVisual
arg	86:32	86:40	5	xDisplay
water	86:32	0:0	6	xDisplay
arg	86:42	86:49	5	xScreen
water	86:42	0:0	6	xScreen
water	86:50	0:0	4	;
water	87:8	0:0	4	xColormap
op	87:18	0:0	4	=
call	87:20	87:53	4	DefaultColormap
arg	87:36	87:44	5	xDisplay
water	87:36	0:0	6	xDisplay
arg	87:46	87:53	5	xScreen
water	87:46	0:0	6	xScreen
water	87:54	0:0	4	;
break	88:8	88:13	4	
label	89:4	89:11	4	default :
call	90:8	90:75	4	fprintf
arg	90:16	90:22	5	stderr
water	90:16	0:0	6	stderr
arg	90:24	90:61	5	"xtiff: unsupported image depth %d\n"
water	90:24	0:0	6	"xtiff: unsupported image depth %d\n"
arg	90:63	90:75	5	tfImageDepth
water	90:63	0:0	6	tfImageDepth
water	90:76	0:0	4	;
call	91:8	91:14	4	exit
arg	91:13	91:14	5	0
water	91:13	0:0	6	0
water	91:15	0:0	4	;
water	92:4	0:0	4	}
if	93:4	95:55	2	(appData . verbose == True)
cond	93:8	93:27	3	appData . verbose == True
water	93:8	0:0	4	appData
op	93:15	0:0	4	.
water	93:16	0:0	4	verbose
op	93:24	0:0	4	==
water	93:27	0:0	4	True
stmts	94:1	95:55	3	
call	94:1	95:54	4	fprintf
arg	94:9	94:15	5	stderr
water	94:9	0:0	6	stderr
arg	94:17	94:48	5	"%s: Using %d-bit %s visual.\n"
water	94:17	0:0	6	"%s: Using %d-bit %s visual.\n"
arg	95:5	95:13	5	fileName
water	95:5	0:0	6	fileName
arg	95:15	95:26	5	xImageDepth
water	95:15	0:0	6	xImageDepth
arg	95:28	95:54	5	classNames[xVisual->class]
water	95:28	0:0	6	classNames
op	95:38	0:0	6	[
water	95:39	0:0	6	xVisual
op	95:46	0:0	6	->
water	95:48	0:0	6	class
op	95:53	0:0	6	]
water	95:55	0:0	4	;
if	96:4	97:20	2	(colors != NULL)
cond	96:8	96:18	3	colors != NULL
water	96:8	0:0	4	colors
op	96:15	0:0	4	!=
water	96:18	0:0	4	NULL
stmts	97:8	97:20	3	
call	97:8	97:19	4	free
arg	97:13	97:19	5	colors
water	97:13	0:0	6	colors
water	97:20	0:0	4	;
if	98:4	99:21	2	(grayMap != NULL)
cond	98:8	98:19	3	grayMap != NULL
water	98:8	0:0	4	grayMap
op	98:16	0:0	4	!=
water	98:19	0:0	4	NULL
stmts	99:8	99:21	3	
call	99:8	99:20	4	free
arg	99:13	99:20	5	grayMap
water	99:13	0:0	6	grayMap
water	99:21	0:0	4	;
if	100:4	101:20	2	(redMap != NULL)
cond	100:8	100:18	3	redMap != NULL
water	100:8	0:0	4	redMap
op	100:15	0:0	4	!=
water	100:18	0:0	4	NULL
stmts	101:8	101:20	3	
call	101:8	101:19	4	free
arg	101:13	101:19	5	redMap
water	101:13	0:0	6	redMap
water	101:20	0:0	4	;
if	102:4	103:22	2	(greenMap != NULL)
cond	102:8	102:20	3	greenMap != NULL
water	102:8	0:0	4	greenMap
op	102:17	0:0	4	!=
water	102:20	0:0	4	NULL
stmts	103:8	103:22	3	
call	103:8	103:21	4	free
arg	103:13	103:21	5	greenMap
water	103:13	0:0	6	greenMap
water	103:22	0:0	4	;
if	104:4	105:21	2	(blueMap != NULL)
cond	104:8	104:19	3	blueMap != NULL
water	104:8	0:0	4	blueMap
op	104:16	0:0	4	!=
water	104:19	0:0	4	NULL
stmts	105:8	105:21	3	
call	105:8	105:20	4	free
arg	105:13	105:20	5	blueMap
water	105:13	0:0	6	blueMap
water	105:21	0:0	4	;
water	106:4	0:0	2	colors
op	106:11	0:0	2	=
water	106:13	0:0	2	NULL
water	106:17	0:0	2	;
water	106:19	0:0	2	grayMap
op	106:27	0:0	2	=
water	106:29	0:0	2	redMap
op	106:36	0:0	2	=
water	106:38	0:0	2	greenMap
op	106:47	0:0	2	=
water	106:49	0:0	2	blueMap
op	106:57	0:0	2	=
water	106:59	0:0	2	NULL
water	106:63	0:0	2	;
