func	1:0	154:0	0	int	main
stmnts	0:0	153:9	1	
arg	22:11	22:17	5	stderr
water	22:11	0:0	6	stderr
arg	22:19	22:49	5	"Can't set ImageLength tag.\n"
water	22:19	0:0	6	"Can't set ImageLength tag.\n"
water	22:50	0:0	4	;
goto	23:2	23:14	4	failure
water	23:7	0:0	5	failure
water	24:1	0:0	4	}
if	25:1	28:1	2	(!TIFFSetField (tif ,TIFFTAG_BITSPERSAMPLE ,bps ))
cond	25:5	25:50	3	!TIFFSetField (tif ,TIFFTAG_BITSPERSAMPLE ,bps )
op	25:5	0:0	4	!
call	25:6	25:50	4	TIFFSetField
arg	25:19	25:22	5	tif
water	25:19	0:0	6	tif
arg	25:24	25:45	5	TIFFTAG_BITSPERSAMPLE
water	25:24	0:0	6	TIFFTAG_BITSPERSAMPLE
arg	25:47	25:50	5	bps
water	25:47	0:0	6	bps
stmts	25:53	28:1	3	
water	25:53	0:0	4	{
call	26:2	26:51	4	fprintf
arg	26:11	26:17	5	stderr
water	26:11	0:0	6	stderr
arg	26:19	26:51	5	"Can't set BitsPerSample tag.\n"
water	26:19	0:0	6	"Can't set BitsPerSample tag.\n"
water	26:52	0:0	4	;
goto	27:2	27:14	4	failure
water	27:7	0:0	5	failure
water	28:1	0:0	4	}
if	29:1	32:1	2	(!TIFFSetField (tif ,TIFFTAG_SAMPLESPERPIXEL ,SPP ))
cond	29:5	29:52	3	!TIFFSetField (tif ,TIFFTAG_SAMPLESPERPIXEL ,SPP )
op	29:5	0:0	4	!
call	29:6	29:52	4	TIFFSetField
arg	29:19	29:22	5	tif
water	29:19	0:0	6	tif
arg	29:24	29:47	5	TIFFTAG_SAMPLESPERPIXEL
water	29:24	0:0	6	TIFFTAG_SAMPLESPERPIXEL
arg	29:49	29:52	5	SPP
water	29:49	0:0	6	SPP
stmts	29:55	32:1	3	
water	29:55	0:0	4	{
call	30:2	30:53	4	fprintf
arg	30:11	30:17	5	stderr
water	30:11	0:0	6	stderr
arg	30:19	30:53	5	"Can't set SamplesPerPixel tag.\n"
water	30:19	0:0	6	"Can't set SamplesPerPixel tag.\n"
water	30:54	0:0	4	;
goto	31:2	31:14	4	failure
water	31:7	0:0	5	failure
water	32:1	0:0	4	}
if	33:1	36:1	2	(!TIFFSetField (tif ,TIFFTAG_ROWSPERSTRIP ,rows_per_strip ))
cond	33:5	33:60	3	!TIFFSetField (tif ,TIFFTAG_ROWSPERSTRIP ,rows_per_strip )
op	33:5	0:0	4	!
call	33:6	33:60	4	TIFFSetField
arg	33:19	33:22	5	tif
water	33:19	0:0	6	tif
arg	33:24	33:44	5	TIFFTAG_ROWSPERSTRIP
water	33:24	0:0	6	TIFFTAG_ROWSPERSTRIP
arg	33:46	33:60	5	rows_per_strip
water	33:46	0:0	6	rows_per_strip
stmts	33:63	36:1	3	
water	33:63	0:0	4	{
call	34:2	34:53	4	fprintf
arg	34:11	34:17	5	stderr
water	34:11	0:0	6	stderr
arg	34:19	34:53	5	"Can't set SamplesPerPixel tag.\n"
water	34:19	0:0	6	"Can't set SamplesPerPixel tag.\n"
water	34:54	0:0	4	;
goto	35:2	35:14	4	failure
water	35:7	0:0	5	failure
water	36:1	0:0	4	}
if	37:1	40:1	2	(!TIFFSetField (tif ,TIFFTAG_PLANARCONFIG ,planarconfig ))
cond	37:5	37:58	3	!TIFFSetField (tif ,TIFFTAG_PLANARCONFIG ,planarconfig )
op	37:5	0:0	4	!
call	37:6	37:58	4	TIFFSetField
arg	37:19	37:22	5	tif
water	37:19	0:0	6	tif
arg	37:24	37:44	5	TIFFTAG_PLANARCONFIG
water	37:24	0:0	6	TIFFTAG_PLANARCONFIG
arg	37:46	37:58	5	planarconfig
water	37:46	0:0	6	planarconfig
stmts	37:61	40:1	3	
water	37:61	0:0	4	{
call	38:2	38:57	4	fprintf
arg	38:11	38:17	5	stderr
water	38:11	0:0	6	stderr
arg	38:19	38:57	5	"Can't set PlanarConfiguration tag.\n"
water	38:19	0:0	6	"Can't set PlanarConfiguration tag.\n"
water	38:58	0:0	4	;
goto	39:2	39:14	4	failure
water	39:7	0:0	5	failure
water	40:1	0:0	4	}
if	41:1	44:1	2	(!TIFFSetField (tif ,TIFFTAG_PHOTOMETRIC ,photometric ))
cond	41:5	41:56	3	!TIFFSetField (tif ,TIFFTAG_PHOTOMETRIC ,photometric )
op	41:5	0:0	4	!
call	41:6	41:56	4	TIFFSetField
arg	41:19	41:22	5	tif
water	41:19	0:0	6	tif
arg	41:24	41:43	5	TIFFTAG_PHOTOMETRIC
water	41:24	0:0	6	TIFFTAG_PHOTOMETRIC
arg	41:45	41:56	5	photometric
water	41:45	0:0	6	photometric
stmts	41:59	44:1	3	
water	41:59	0:0	4	{
call	42:2	42:63	4	fprintf
arg	42:11	42:17	5	stderr
water	42:11	0:0	6	stderr
arg	42:19	42:63	5	"Can't set PhotometricInterpretation tag.\n"
water	42:19	0:0	6	"Can't set PhotometricInterpretation tag.\n"
water	42:64	0:0	4	;
goto	43:2	43:14	4	failure
water	43:7	0:0	5	failure
water	44:1	0:0	4	}
if	46:1	49:1	2	(TIFFWriteScanline (tif ,buf ,0 ,0 ) == - 1)
cond	46:5	46:43	3	TIFFWriteScanline (tif ,buf ,0 ,0 ) == - 1
call	46:5	46:37	4	TIFFWriteScanline
arg	46:23	46:26	5	tif
water	46:23	0:0	6	tif
arg	46:28	46:31	5	buf
water	46:28	0:0	6	buf
arg	46:33	46:34	5	0
water	46:33	0:0	6	0
arg	46:36	46:37	5	0
water	46:36	0:0	6	0
op	46:39	0:0	4	==
op	46:42	0:0	4	-
water	46:43	0:0	4	1
stmts	46:46	49:1	3	
water	46:46	0:0	4	{
call	47:2	47:46	4	fprintf
arg	47:11	47:17	5	stderr
water	47:11	0:0	6	stderr
arg	47:19	47:46	5	"Can't write image data.\n"
water	47:19	0:0	6	"Can't write image data.\n"
water	47:47	0:0	4	;
goto	48:2	48:14	4	failure
water	48:7	0:0	5	failure
water	49:1	0:0	4	}
if	50:8	53:1	2	(!TIFFWriteDirectory (tif ))
cond	50:12	50:37	3	!TIFFWriteDirectory (tif )
op	50:12	0:0	4	!
call	50:13	50:37	4	TIFFWriteDirectory
arg	50:33	50:37	5	tif
water	50:33	0:0	6	tif
stmts	50:40	53:1	3	
water	50:40	0:0	4	{
call	51:2	51:51	4	fprintf
arg	51:11	51:17	5	stderr
water	51:11	0:0	6	stderr
arg	51:19	51:51	5	"TIFFWriteDirectory() failed.\n"
water	51:19	0:0	6	"TIFFWriteDirectory() failed.\n"
water	51:52	0:0	4	;
goto	52:2	52:14	4	failure
water	52:7	0:0	5	failure
water	53:1	0:0	4	}
if	57:1	60:1	2	(TIFFCreateEXIFDirectory (tif ) != 0)
cond	57:5	57:37	3	TIFFCreateEXIFDirectory (tif ) != 0
call	57:5	57:32	4	TIFFCreateEXIFDirectory
arg	57:29	57:32	5	tif
water	57:29	0:0	6	tif
op	57:34	0:0	4	!=
water	57:37	0:0	4	0
stmts	57:40	60:1	3	
water	57:40	0:0	4	{
call	58:2	58:57	4	fprintf
arg	58:11	58:17	5	stderr
water	58:11	0:0	6	stderr
arg	58:19	58:57	5	"TIFFCreateEXIFDirectory() failed.\n"
water	58:19	0:0	6	"TIFFCreateEXIFDirectory() failed.\n"
water	58:58	0:0	4	;
goto	59:2	59:14	4	failure
water	59:7	0:0	5	failure
water	60:1	0:0	4	}
if	61:1	64:1	2	(!TIFFSetField (tif ,EXIFTAG_SPECTRALSENSITIVITY ,"EXIF Spectral Sensitivity" ))
cond	61:5	61:81	3	!TIFFSetField (tif ,EXIFTAG_SPECTRALSENSITIVITY ,"EXIF Spectral Sensitivity" )
op	61:5	0:0	4	!
call	61:6	61:81	4	TIFFSetField
arg	61:20	61:23	5	tif
water	61:20	0:0	6	tif
arg	61:25	61:52	5	EXIFTAG_SPECTRALSENSITIVITY
water	61:25	0:0	6	EXIFTAG_SPECTRALSENSITIVITY
arg	61:54	61:81	5	"EXIF Spectral Sensitivity"
water	61:54	0:0	6	"EXIF Spectral Sensitivity"
stmts	61:84	64:1	3	
water	61:84	0:0	4	{
call	62:2	62:55	4	fprintf
arg	62:11	62:17	5	stderr
water	62:11	0:0	6	stderr
arg	62:19	62:55	5	"Can't write SPECTRALSENSITIVITY\n"
water	62:19	0:0	6	"Can't write SPECTRALSENSITIVITY\n"
water	62:56	0:0	4	;
goto	63:2	63:14	4	failure
water	63:7	0:0	5	failure
water	64:1	0:0	4	}
if	65:8	68:1	2	(!TIFFWriteCustomDirectory (tif ,& dir_offset ))
cond	65:12	65:56	3	!TIFFWriteCustomDirectory (tif ,& dir_offset )
op	65:12	0:0	4	!
call	65:13	65:56	4	TIFFWriteCustomDirectory
arg	65:39	65:42	5	tif
water	65:39	0:0	6	tif
arg	65:44	65:56	5	&dir_offset
op	65:44	0:0	6	&
water	65:45	0:0	6	dir_offset
stmts	65:59	68:1	3	
water	65:59	0:0	4	{
call	66:2	66:67	4	fprintf
arg	66:11	66:17	5	stderr
water	66:11	0:0	6	stderr
arg	66:19	66:67	5	"TIFFWriteCustomDirectory() with EXIF failed.\n"
water	66:19	0:0	6	"TIFFWriteCustomDirectory() with EXIF failed.\n"
water	66:68	0:0	4	;
goto	67:2	67:14	4	failure
water	67:7	0:0	5	failure
water	68:1	0:0	4	}
call	73:1	73:24	2	TIFFFreeDirectory
arg	73:20	73:24	3	tif
water	73:20	0:0	4	tif
water	73:25	0:0	2	;
if	74:1	77:1	2	(TIFFCreateCustomDirectory (tif ,& customFieldArray ) != 0)
cond	74:5	74:58	3	TIFFCreateCustomDirectory (tif ,& customFieldArray ) != 0
call	74:5	74:53	4	TIFFCreateCustomDirectory
arg	74:31	74:34	5	tif
water	74:31	0:0	6	tif
arg	74:36	74:53	5	&customFieldArray
op	74:36	0:0	6	&
water	74:37	0:0	6	customFieldArray
op	74:55	0:0	4	!=
water	74:58	0:0	4	0
stmts	74:61	77:1	3	
water	74:61	0:0	4	{
call	75:2	75:57	4	fprintf
arg	75:11	75:17	5	stderr
water	75:11	0:0	6	stderr
arg	75:19	75:57	5	"TIFFCreateEXIFDirectory() failed.\n"
water	75:19	0:0	6	"TIFFCreateEXIFDirectory() failed.\n"
water	75:58	0:0	4	;
goto	76:2	76:14	4	failure
water	76:7	0:0	5	failure
water	77:1	0:0	4	}
if	78:1	81:1	2	(!TIFFSetField (tif ,TIFFTAG_IMAGEWIDTH ,"*Custom1" ))
cond	78:5	78:55	3	!TIFFSetField (tif ,TIFFTAG_IMAGEWIDTH ,"*Custom1" )
op	78:5	0:0	4	!
call	78:6	78:55	4	TIFFSetField
arg	78:20	78:23	5	tif
water	78:20	0:0	6	tif
arg	78:25	78:43	5	TIFFTAG_IMAGEWIDTH
water	78:25	0:0	6	TIFFTAG_IMAGEWIDTH
arg	78:45	78:55	5	"*Custom1"
water	78:45	0:0	6	"*Custom1"
stmts	78:58	81:1	3	
water	78:58	0:0	4	{
call	79:2	79:54	4	fprintf
arg	79:11	79:17	5	stderr
water	79:11	0:0	6	stderr
arg	79:19	79:54	5	"Can't write pseudo-IMAGEWIDTH.\n"
water	79:19	0:0	6	"Can't write pseudo-IMAGEWIDTH.\n"
water	79:55	0:0	4	;
goto	80:2	80:14	4	failure
water	80:7	0:0	5	failure
water	81:1	0:0	4	}
if	82:1	85:1	2	(!TIFFSetField (tif ,TIFFTAG_DOTRANGE ,"*Custom2" ))
cond	82:5	82:53	3	!TIFFSetField (tif ,TIFFTAG_DOTRANGE ,"*Custom2" )
op	82:5	0:0	4	!
call	82:6	82:53	4	TIFFSetField
arg	82:20	82:23	5	tif
water	82:20	0:0	6	tif
arg	82:25	82:41	5	TIFFTAG_DOTRANGE
water	82:25	0:0	6	TIFFTAG_DOTRANGE
arg	82:43	82:53	5	"*Custom2"
water	82:43	0:0	6	"*Custom2"
stmts	82:56	85:1	3	
water	82:56	0:0	4	{
call	83:2	83:52	4	fprintf
arg	83:11	83:17	5	stderr
water	83:11	0:0	6	stderr
arg	83:19	83:52	5	"Can't write pseudo-DOTWIDTH.\n"
water	83:19	0:0	6	"Can't write pseudo-DOTWIDTH.\n"
water	83:53	0:0	4	;
goto	84:2	84:14	4	failure
water	84:7	0:0	5	failure
water	85:1	0:0	4	}
if	86:8	89:1	2	(!TIFFWriteCustomDirectory (tif ,& dir_offset2 ))
cond	86:12	86:57	3	!TIFFWriteCustomDirectory (tif ,& dir_offset2 )
op	86:12	0:0	4	!
call	86:13	86:57	4	TIFFWriteCustomDirectory
arg	86:39	86:42	5	tif
water	86:39	0:0	6	tif
arg	86:44	86:57	5	&dir_offset2
op	86:44	0:0	6	&
water	86:45	0:0	6	dir_offset2
stmts	86:60	89:1	3	
water	86:60	0:0	4	{
call	87:2	87:67	4	fprintf
arg	87:11	87:17	5	stderr
water	87:11	0:0	6	stderr
arg	87:19	87:67	5	"TIFFWriteCustomDirectory() with EXIF failed.\n"
water	87:19	0:0	6	"TIFFWriteCustomDirectory() with EXIF failed.\n"
water	87:68	0:0	4	;
goto	88:2	88:14	4	failure
water	88:7	0:0	5	failure
water	89:1	0:0	4	}
call	93:1	93:24	2	TIFFSetDirectory
arg	93:18	93:21	3	tif
water	93:18	0:0	4	tif
arg	93:23	93:24	3	0
water	93:23	0:0	4	0
water	93:25	0:0	2	;
call	94:1	94:47	2	TIFFSetField
arg	94:14	94:17	3	tif
water	94:14	0:0	4	tif
arg	94:19	94:34	3	TIFFTAG_EXIFIFD
water	94:19	0:0	4	TIFFTAG_EXIFIFD
arg	94:36	94:47	3	dir_offset
water	94:36	0:0	4	dir_offset
water	94:48	0:0	2	;
call	95:1	95:51	2	TIFFSetField
arg	95:14	95:17	3	tif
water	95:14	0:0	4	tif
arg	95:19	95:33	3	TIFFTAG_SUBIFD
water	95:19	0:0	4	TIFFTAG_SUBIFD
arg	95:35	95:36	3	1
water	95:35	0:0	4	1
arg	95:38	95:51	3	&dir_offset2
op	95:38	0:0	4	&
water	95:39	0:0	4	dir_offset2
water	95:52	0:0	2	;
call	96:1	96:14	2	TIFFClose
arg	96:11	96:14	3	tif
water	96:11	0:0	4	tif
water	96:15	0:0	2	;
water	98:1	0:0	2	tif
op	98:5	0:0	2	=
call	98:7	98:29	2	TIFFOpen
arg	98:16	98:24	3	filename
water	98:16	0:0	4	filename
arg	98:26	98:29	3	"r"
water	98:26	0:0	4	"r"
water	98:30	0:0	2	;
call	99:1	99:53	2	TIFFGetField
arg	99:14	99:17	3	tif
water	99:14	0:0	4	tif
arg	99:19	99:34	3	TIFFTAG_EXIFIFD
water	99:19	0:0	4	TIFFTAG_EXIFIFD
arg	99:36	99:53	3	&read_dir_offset
op	99:36	0:0	4	&
water	99:37	0:0	4	read_dir_offset
water	99:54	0:0	2	;
if	100:1	103:1	2	(read_dir_offset != dir_offset)
cond	100:5	100:24	3	read_dir_offset != dir_offset
water	100:5	0:0	4	read_dir_offset
op	100:21	0:0	4	!=
water	100:24	0:0	4	dir_offset
stmts	100:37	103:1	3	
water	100:37	0:0	4	{
call	101:2	101:53	4	fprintf
arg	101:11	101:17	5	stderr
water	101:11	0:0	6	stderr
arg	101:19	101:53	5	"Did not get expected EXIFIFD.\n"
water	101:19	0:0	6	"Did not get expected EXIFIFD.\n"
water	101:54	0:0	4	;
goto	102:2	102:14	4	failure
water	102:7	0:0	5	failure
water	103:1	0:0	4	}
call	104:1	104:62	2	TIFFGetField
arg	104:14	104:17	3	tif
water	104:14	0:0	4	tif
arg	104:19	104:33	3	TIFFTAG_SUBIFD
water	104:19	0:0	4	TIFFTAG_SUBIFD
arg	104:35	104:43	3	&count16
op	104:35	0:0	4	&
water	104:36	0:0	4	count16
arg	104:45	104:62	3	&dir_offset2_ptr
op	104:45	0:0	4	&
water	104:46	0:0	4	dir_offset2_ptr
water	104:63	0:0	2	;
water	105:1	0:0	2	read_dir_offset2
op	105:18	0:0	2	=
water	105:20	0:0	2	dir_offset2_ptr
op	105:35	0:0	2	[
water	105:36	0:0	2	0
op	105:37	0:0	2	]
water	105:38	0:0	2	;
if	106:1	109:1	2	(read_dir_offset2 != dir_offset2 || count16 != 1)
cond	106:5	106:51	3	read_dir_offset2 != dir_offset2 || count16 != 1
water	106:5	0:0	4	read_dir_offset2
op	106:22	0:0	4	!=
water	106:25	0:0	4	dir_offset2
op	106:37	0:0	4	||
water	106:40	0:0	4	count16
op	106:48	0:0	4	!=
water	106:51	0:0	4	1
stmts	106:54	109:1	3	
water	106:54	0:0	4	{
call	107:2	107:52	4	fprintf
arg	107:11	107:17	5	stderr
water	107:11	0:0	6	stderr
arg	107:19	107:52	5	"Did not get expected SUBIFD.\n"
water	107:19	0:0	6	"Did not get expected SUBIFD.\n"
water	107:53	0:0	4	;
goto	108:2	108:14	4	failure
water	108:7	0:0	5	failure
water	109:1	0:0	4	}
if	110:1	113:1	2	(!TIFFReadEXIFDirectory (tif ,read_dir_offset ))
cond	110:5	110:48	3	!TIFFReadEXIFDirectory (tif ,read_dir_offset )
op	110:5	0:0	4	!
call	110:6	110:48	4	TIFFReadEXIFDirectory
arg	110:28	110:31	5	tif
water	110:28	0:0	6	tif
arg	110:33	110:48	5	read_dir_offset
water	110:33	0:0	6	read_dir_offset
stmts	110:52	113:1	3	
water	110:52	0:0	4	{
call	111:2	111:55	4	fprintf
arg	111:11	111:17	5	stderr
water	111:11	0:0	6	stderr
arg	111:19	111:55	5	"TIFFReadEXIFDirectory() failed.\n"
water	111:19	0:0	6	"TIFFReadEXIFDirectory() failed.\n"
water	111:56	0:0	4	;
goto	112:2	112:14	4	failure
water	112:7	0:0	5	failure
water	113:1	0:0	4	}
if	114:1	117:1	2	(!TIFFGetField (tif ,EXIFTAG_SPECTRALSENSITIVITY ,& ascii_value ))
cond	114:5	114:66	3	!TIFFGetField (tif ,EXIFTAG_SPECTRALSENSITIVITY ,& ascii_value )
op	114:5	0:0	4	!
call	114:6	114:66	4	TIFFGetField
arg	114:20	114:23	5	tif
water	114:20	0:0	6	tif
arg	114:25	114:52	5	EXIFTAG_SPECTRALSENSITIVITY
water	114:25	0:0	6	EXIFTAG_SPECTRALSENSITIVITY
arg	114:54	114:66	5	&ascii_value
op	114:54	0:0	6	&
water	114:55	0:0	6	ascii_value
stmts	114:70	117:1	3	
water	114:70	0:0	4	{
call	115:2	115:59	4	fprintf
arg	115:11	115:17	5	stderr
water	115:11	0:0	6	stderr
arg	115:19	115:59	5	"reading SPECTRALSENSITIVITY failed.\n"
water	115:19	0:0	6	"reading SPECTRALSENSITIVITY failed.\n"
water	115:60	0:0	4	;
goto	116:2	116:14	4	failure
water	116:7	0:0	5	failure
water	117:1	0:0	4	}
if	118:1	121:1	2	(strcmp (ascii_value ,"EXIF Spectral Sensitivity" ) != 0)
cond	118:5	118:56	3	strcmp (ascii_value ,"EXIF Spectral Sensitivity" ) != 0
call	118:5	118:51	4	strcmp
arg	118:12	118:23	5	ascii_value
water	118:12	0:0	6	ascii_value
arg	118:24	118:51	5	"EXIF Spectral Sensitivity"
water	118:24	0:0	6	"EXIF Spectral Sensitivity"
op	118:53	0:0	4	!=
water	118:56	0:0	4	0
stmts	118:59	121:1	3	
water	118:59	0:0	4	{
call	119:2	119:60	4	fprintf
arg	119:11	119:17	5	stderr
water	119:11	0:0	6	stderr
arg	119:19	119:60	5	"got wrong SPECTRALSENSITIVITY value.\n"
water	119:19	0:0	6	"got wrong SPECTRALSENSITIVITY value.\n"
water	119:61	0:0	4	;
goto	120:2	120:14	4	failure
water	120:7	0:0	5	failure
water	121:1	0:0	4	}
if	123:1	126:1	2	(!TIFFReadCustomDirectory (tif ,read_dir_offset2 ,& customFieldArray ))
cond	123:5	123:70	3	!TIFFReadCustomDirectory (tif ,read_dir_offset2 ,& customFieldArray )
op	123:5	0:0	4	!
call	123:6	123:70	4	TIFFReadCustomDirectory
arg	123:30	123:33	5	tif
water	123:30	0:0	6	tif
arg	123:35	123:51	5	read_dir_offset2
water	123:35	0:0	6	read_dir_offset2
arg	123:53	123:70	5	&customFieldArray
op	123:53	0:0	6	&
water	123:54	0:0	6	customFieldArray
stmts	123:74	126:1	3	
water	123:74	0:0	4	{
call	124:2	124:57	4	fprintf
arg	124:11	124:17	5	stderr
water	124:11	0:0	6	stderr
arg	124:19	124:57	5	"TIFFReadCustomDirectory() failed.\n"
water	124:19	0:0	6	"TIFFReadCustomDirectory() failed.\n"
water	124:58	0:0	4	;
goto	125:2	125:14	4	failure
water	125:7	0:0	5	failure
water	126:1	0:0	4	}
if	127:1	130:1	2	(!TIFFGetField (tif ,TIFFTAG_IMAGEWIDTH ,& ascii_value ))
cond	127:5	127:57	3	!TIFFGetField (tif ,TIFFTAG_IMAGEWIDTH ,& ascii_value )
op	127:5	0:0	4	!
call	127:6	127:57	4	TIFFGetField
arg	127:20	127:23	5	tif
water	127:20	0:0	6	tif
arg	127:25	127:43	5	TIFFTAG_IMAGEWIDTH
water	127:25	0:0	6	TIFFTAG_IMAGEWIDTH
arg	127:45	127:57	5	&ascii_value
op	127:45	0:0	6	&
water	127:46	0:0	6	ascii_value
stmts	127:61	130:1	3	
water	127:61	0:0	4	{
call	128:2	128:57	4	fprintf
arg	128:11	128:17	5	stderr
water	128:11	0:0	6	stderr
arg	128:19	128:57	5	"reading pseudo-IMAGEWIDTH failed.\n"
water	128:19	0:0	6	"reading pseudo-IMAGEWIDTH failed.\n"
water	128:58	0:0	4	;
goto	129:2	129:14	4	failure
water	129:7	0:0	5	failure
water	130:1	0:0	4	}
if	131:1	134:1	2	(strcmp (ascii_value ,"*Custom1" ) != 0)
cond	131:5	131:39	3	strcmp (ascii_value ,"*Custom1" ) != 0
call	131:5	131:34	4	strcmp
arg	131:12	131:23	5	ascii_value
water	131:12	0:0	6	ascii_value
arg	131:24	131:34	5	"*Custom1"
water	131:24	0:0	6	"*Custom1"
op	131:36	0:0	4	!=
water	131:39	0:0	4	0
stmts	131:42	134:1	3	
water	131:42	0:0	4	{
call	132:2	132:58	4	fprintf
arg	132:11	132:17	5	stderr
water	132:11	0:0	6	stderr
arg	132:19	132:58	5	"got wrong pseudo-IMAGEWIDTH value.\n"
water	132:19	0:0	6	"got wrong pseudo-IMAGEWIDTH value.\n"
water	132:59	0:0	4	;
goto	133:2	133:14	4	failure
water	133:7	0:0	5	failure
water	134:1	0:0	4	}
if	135:1	138:1	2	(!TIFFGetField (tif ,TIFFTAG_DOTRANGE ,& ascii_value ))
cond	135:5	135:55	3	!TIFFGetField (tif ,TIFFTAG_DOTRANGE ,& ascii_value )
op	135:5	0:0	4	!
call	135:6	135:55	4	TIFFGetField
arg	135:20	135:23	5	tif
water	135:20	0:0	6	tif
arg	135:25	135:41	5	TIFFTAG_DOTRANGE
water	135:25	0:0	6	TIFFTAG_DOTRANGE
arg	135:43	135:55	5	&ascii_value
op	135:43	0:0	6	&
water	135:44	0:0	6	ascii_value
stmts	135:59	138:1	3	
water	135:59	0:0	4	{
call	136:2	136:55	4	fprintf
arg	136:11	136:17	5	stderr
water	136:11	0:0	6	stderr
arg	136:19	136:55	5	"reading pseudo-DOTRANGE failed.\n"
water	136:19	0:0	6	"reading pseudo-DOTRANGE failed.\n"
water	136:56	0:0	4	;
goto	137:2	137:14	4	failure
water	137:7	0:0	5	failure
water	138:1	0:0	4	}
if	139:1	142:1	2	(strcmp (ascii_value ,"*Custom2" ) != 0)
cond	139:5	139:39	3	strcmp (ascii_value ,"*Custom2" ) != 0
call	139:5	139:34	4	strcmp
arg	139:12	139:23	5	ascii_value
water	139:12	0:0	6	ascii_value
arg	139:24	139:34	5	"*Custom2"
water	139:24	0:0	6	"*Custom2"
op	139:36	0:0	4	!=
water	139:39	0:0	4	0
stmts	139:42	142:1	3	
water	139:42	0:0	4	{
call	140:2	140:56	4	fprintf
arg	140:11	140:17	5	stderr
water	140:11	0:0	6	stderr
arg	140:19	140:56	5	"got wrong pseudo-DOTRANGE value.\n"
water	140:19	0:0	6	"got wrong pseudo-DOTRANGE value.\n"
water	140:57	0:0	4	;
goto	141:2	141:14	4	failure
water	141:7	0:0	5	failure
water	142:1	0:0	4	}
call	143:1	143:14	2	TIFFClose
arg	143:11	143:14	3	tif
water	143:11	0:0	4	tif
water	143:15	0:0	2	;
call	145:1	145:16	2	unlink
arg	145:8	145:16	3	filename
water	145:8	0:0	4	filename
